,year_film,year_ceremony,ceremony,category,name,film,winner
2697,1952,1953,25,MUSIC (Music Score of a Dramatic or Comedy Picture),Herschel Burke Gilbert,The Thief,False
2698,1952,1953,25,MUSIC (Music Score of a Dramatic or Comedy Picture),Alex North,Viva Zapata!,False
2699,1952,1953,25,MUSIC (Scoring of a Musical Picture),Walter Scharf,Hans Christian Andersen,False
2700,1952,1953,25,MUSIC (Scoring of a Musical Picture),"Ray Heindorf, Max Steiner",The Jazz Singer,False
2701,1952,1953,25,MUSIC (Scoring of a Musical Picture),Gian-Carlo Menotti,The Medium,False
2702,1952,1953,25,MUSIC (Scoring of a Musical Picture),Lennie Hayton,Singin' in the Rain,False
2703,1952,1953,25,MUSIC (Scoring of a Musical Picture),Alfred Newman,With a Song in My Heart,True
2704,1952,1953,25,MUSIC (Song),Music and Lyrics by Jack Brooks,Son of Paleface,False
2705,1952,1953,25,MUSIC (Song),Music by Nicholas Brodszky; Lyrics by Sammy Cahn,Because You're Mine,False
2706,1952,1953,25,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Ned Washington,High Noon,True
2707,1952,1953,25,MUSIC (Song),Music and Lyrics by Frank Loesser,Hans Christian Andersen,False
2708,1952,1953,25,MUSIC (Song),Music by Harry Warren; Lyrics by Leo Robin,Just for You,False
2709,1952,1953,25,BEST MOTION PICTURE,"Cecil B. DeMille, Producer",The Greatest Show on Earth,True
2710,1952,1953,25,BEST MOTION PICTURE,"Stanley Kramer, Producer",High Noon,False
2711,1952,1953,25,BEST MOTION PICTURE,"Pandro S. Berman, Producer",Ivanhoe,False
2712,1952,1953,25,BEST MOTION PICTURE,Romulus Films,Moulin Rouge,False
2713,1952,1953,25,BEST MOTION PICTURE,"John Ford and Merian C. Cooper, Producers",The Quiet Man,False
2714,1952,1953,25,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",Johann Mouse,True
2715,1952,1953,25,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",Little Johnny Jet,False
2716,1952,1953,25,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Executive Producer",Madeline,False
2717,1952,1953,25,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Executive Producer",Pink and Blue Blues,False
2718,1952,1953,25,SHORT SUBJECT (Cartoon),"Tom Daly, Producer",Romance of Transportation,False
2719,1952,1953,25,SHORT SUBJECT (One-reel),"Jack Eaton, Producer",Athletes of the Saddle,False
2720,1952,1953,25,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Desert Killer,False
2721,1952,1953,25,SHORT SUBJECT (One-reel),"Boris Vermont, Producer",Light in the Window: The Art of Vermeer,True
2722,1952,1953,25,SHORT SUBJECT (One-reel),"Norman McLaren, Producer",Neighbours,False
2723,1952,1953,25,SHORT SUBJECT (One-reel),Crown Film Unit,Royal Scotland,False
2724,1952,1953,25,SHORT SUBJECT (Two-reel),London Film Production,Bridge of Time,False
2725,1952,1953,25,SHORT SUBJECT (Two-reel),"Herbert Morgan, Producer",Devil Take Us,False
2726,1952,1953,25,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",Thar She Blows!,False
2727,1952,1953,25,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Water Birds,True
2733,1952,1953,25,SPECIAL EFFECTS,Metro-Goldwyn-Mayer,Plymouth Adventure,True
2734,1952,1953,25,WRITING (Motion Picture Story),"Fredric M. Frank, Theodore St. John, Frank Cavett",The Greatest Show on Earth,True
2735,1952,1953,25,WRITING (Motion Picture Story),Leo McCarey,My Son John,False
2736,1952,1953,25,WRITING (Motion Picture Story),"Martin Goldsmith, Jack Leonard",The Narrow Margin,False
2737,1952,1953,25,WRITING (Motion Picture Story),Guy Trosper,The Pride of St. Louis,False
2738,1952,1953,25,WRITING (Motion Picture Story),"Edna Anhalt, Edward Anhalt",The Sniper,False
2739,1952,1953,25,WRITING (Screenplay),Charles Schnee,The Bad and the Beautiful,True
2740,1952,1953,25,WRITING (Screenplay),Michael Wilson,Five Fingers,False
2741,1952,1953,25,WRITING (Screenplay),Carl Foreman,High Noon,False
2742,1952,1953,25,WRITING (Screenplay),"Roger MacDougall, John Dighton, Alexander Mackendrick",The Man in the White Suit,False
2743,1952,1953,25,WRITING (Screenplay),Frank S. Nugent,The Quiet Man,False
2744,1952,1953,25,WRITING (Story and Screenplay),Sydney Boehm,The Atomic City,False
2745,1952,1953,25,WRITING (Story and Screenplay),Terence Rattigan,Breaking the Sound Barrier,False
2746,1952,1953,25,WRITING (Story and Screenplay),T. E. B. Clarke,The Lavender Hill Mob,True
2747,1952,1953,25,WRITING (Story and Screenplay),"Ruth Gordon, Garson Kanin",Pat and Mike,False
2748,1952,1953,25,WRITING (Story and Screenplay),John Steinbeck,Viva Zapata!,False
2749,1952,1953,25,HONORARY FOREIGN LANGUAGE FILM AWARD,Forbidden Games - Best Foreign Language Film first released in the United States during 1952.,Forbidden Games ,True
2756,1953,1954,26,ACTOR,Marlon Brando,Julius Caesar,False
2757,1953,1954,26,ACTOR,Richard Burton,The Robe,False
2758,1953,1954,26,ACTOR,Montgomery Clift,From Here to Eternity,False
2759,1953,1954,26,ACTOR,William Holden,Stalag 17,True
2760,1953,1954,26,ACTOR,Burt Lancaster,From Here to Eternity,False
2761,1953,1954,26,ACTOR IN A SUPPORTING ROLE,Eddie Albert,Roman Holiday,False
2762,1953,1954,26,ACTOR IN A SUPPORTING ROLE,Brandon De Wilde,Shane,False
2763,1953,1954,26,ACTOR IN A SUPPORTING ROLE,Jack Palance,Shane,False
2764,1953,1954,26,ACTOR IN A SUPPORTING ROLE,Frank Sinatra,From Here to Eternity,True
2765,1953,1954,26,ACTOR IN A SUPPORTING ROLE,Robert Strauss,Stalag 17,False
2766,1953,1954,26,ACTRESS,Leslie Caron,Lili,False
2767,1953,1954,26,ACTRESS,Ava Gardner,Mogambo,False
2768,1953,1954,26,ACTRESS,Audrey Hepburn,Roman Holiday,True
2769,1953,1954,26,ACTRESS,Deborah Kerr,From Here to Eternity,False
2770,1953,1954,26,ACTRESS,Maggie McNamara,The Moon Is Blue,False
2771,1953,1954,26,ACTRESS IN A SUPPORTING ROLE,Grace Kelly,Mogambo,False
2772,1953,1954,26,ACTRESS IN A SUPPORTING ROLE,Geraldine Page,Hondo,False
2773,1953,1954,26,ACTRESS IN A SUPPORTING ROLE,Marjorie Rambeau,Torch Song,False
2774,1953,1954,26,ACTRESS IN A SUPPORTING ROLE,Donna Reed,From Here to Eternity,True
2775,1953,1954,26,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,Pickup on South Street,False
2776,1953,1954,26,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Hugh Hunt",Julius Caesar,True
2777,1953,1954,26,ART DIRECTION (Black-and-White),"Art Direction:  Fritz Maurischat, Paul Markwitz",Martin Luther,False
2778,1953,1954,26,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, Leland Fuller;  Set Decoration:  Paul S. Fox",The President's Lady,False
2779,1953,1954,26,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Walter Tyler",Roman Holiday,False
2780,1953,1954,26,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, Maurice Ransford;  Set Decoration:  Stuart Reiss",Titanic,False
2781,1953,1954,26,ART DIRECTION (Color),"Art Direction:  Alfred Junge, Hans Peters;  Set Decoration:  John Jarvis",Knights of the Round Table,False
2782,1953,1954,26,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Arthur Krams",Lili,False
2783,1953,1954,26,ART DIRECTION (Color),"Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Paul S. Fox",The Robe,True
2784,1953,1954,26,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Preston Ames, Edward Carfagno, Gabriel Scognamillo;  Set Decoration:  Edwin B. Willis, Keogh Gleason, Arthur Krams, Jack D. Moore",The Story of Three Loves,False
2785,1953,1954,26,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Urie McCleary;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Young Bess,False
2786,1953,1954,26,CINEMATOGRAPHY (Black-and-White),Hal Mohr,The Four Poster,False
2787,1953,1954,26,CINEMATOGRAPHY (Black-and-White),Burnett Guffey,From Here to Eternity,True
2788,1953,1954,26,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Julius Caesar,False
2789,1953,1954,26,CINEMATOGRAPHY (Black-and-White),Joseph C. Brun,Martin Luther,False
2790,1953,1954,26,CINEMATOGRAPHY (Black-and-White),"Frank Planer, Henri Alekan",Roman Holiday,False
2791,1953,1954,26,CINEMATOGRAPHY (Color),George Folsey,All the Brothers Were Valiant,False
2792,1953,1954,26,CINEMATOGRAPHY (Color),Edward Cronjager,Beneath the 12-Mile Reef,False
2793,1953,1954,26,CINEMATOGRAPHY (Color),Robert Planck,Lili,False
2794,1953,1954,26,CINEMATOGRAPHY (Color),Leon Shamroy,The Robe,False
2795,1953,1954,26,CINEMATOGRAPHY (Color),Loyal Griggs,Shane,True
2796,1953,1954,26,COSTUME DESIGN (Black-and-White),Walter Plunkett,The Actress,False
2797,1953,1954,26,COSTUME DESIGN (Black-and-White),"Helen Rose, Herschel McCoy",Dream Wife,False
2798,1953,1954,26,COSTUME DESIGN (Black-and-White),Jean Louis,From Here to Eternity,False
2799,1953,1954,26,COSTUME DESIGN (Black-and-White),"Charles LeMaire, Renie",The President's Lady,False
2800,1953,1954,26,COSTUME DESIGN (Black-and-White),Edith Head,Roman Holiday,True
2801,1953,1954,26,COSTUME DESIGN (Color),Mary Ann Nyberg,The Band Wagon,False
2802,1953,1954,26,COSTUME DESIGN (Color),Irene Sharaff,Call Me Madam,False
2803,1953,1954,26,COSTUME DESIGN (Color),"Charles LeMaire, Travilla",How to Marry a Millionaire,False
2804,1953,1954,26,COSTUME DESIGN (Color),"Charles LeMaire, Emile Santiago",The Robe,True
2805,1953,1954,26,COSTUME DESIGN (Color),Walter Plunkett,Young Bess,False
2806,1953,1954,26,DIRECTING,Fred Zinnemann,From Here to Eternity,True
2807,1953,1954,26,DIRECTING,Charles Walters,Lili,False
2808,1953,1954,26,DIRECTING,William Wyler,Roman Holiday,False
2809,1953,1954,26,DIRECTING,George Stevens,Shane,False
2810,1953,1954,26,DIRECTING,Billy Wilder,Stalag 17,False
2811,1953,1954,26,DOCUMENTARY (Feature),"John Taylor, Leon Clore and Grahame Tharp, Producers",The Conquest of Everest,False
2812,1953,1954,26,DOCUMENTARY (Feature),"Walt Disney, Producer",The Living Desert,True
2813,1953,1954,26,DOCUMENTARY (Feature),"Castleton Knight, Producer",A Queen Is Crowned,False
2814,1953,1954,26,DOCUMENTARY (Short Subject),"Walt Disney, Producer",The Alaskan Eskimo,True
2815,1953,1954,26,DOCUMENTARY (Short Subject),"John Barnes, Producer",The Living City,False
2816,1953,1954,26,DOCUMENTARY (Short Subject),United States Army Signal Corps,Operation Blue Jay,False
2817,1953,1954,26,DOCUMENTARY (Short Subject),"James Carr, Producer",They Planted a Stone,False
2818,1953,1954,26,DOCUMENTARY (Short Subject),"John Healy and John Adams, Producers",The Word,False
2819,1953,1954,26,FILM EDITING,Irvine (Cotton) Warburton,Crazylegs,False
2820,1953,1954,26,FILM EDITING,William Lyon,From Here to Eternity,True
2821,1953,1954,26,FILM EDITING,Otto Ludwig,The Moon Is Blue,False
2822,1953,1954,26,FILM EDITING,Robert Swink,Roman Holiday,False
2823,1953,1954,26,FILM EDITING,Everett Douglas,The War of the Worlds,False
2824,1953,1954,26,MUSIC (Music Score of a Dramatic or Comedy Picture),Hugo Friedhofer,Above and Beyond,False
2825,1953,1954,26,MUSIC (Music Score of a Dramatic or Comedy Picture),"Morris Stoloff, George Duning",From Here to Eternity,False
2826,1953,1954,26,MUSIC (Music Score of a Dramatic or Comedy Picture),Miklos Rozsa,Julius Caesar,False
2827,1953,1954,26,MUSIC (Music Score of a Dramatic or Comedy Picture),Bronislau Kaper,Lili,True
2828,1953,1954,26,MUSIC (Music Score of a Dramatic or Comedy Picture),Louis Forbes,This Is Cinerama,False
2829,1953,1954,26,MUSIC (Scoring of a Musical Picture),Adolph Deutsch,The Band Wagon,False
2830,1953,1954,26,MUSIC (Scoring of a Musical Picture),Ray Heindorf,Calamity Jane,False
2831,1953,1954,26,MUSIC (Scoring of a Musical Picture),Alfred Newman,Call Me Madam,True
2832,1953,1954,26,MUSIC (Scoring of a Musical Picture),"Frederick Hollander, Morris Stoloff","The 5,000 Fingers of Dr. T",False
2833,1953,1954,26,MUSIC (Scoring of a Musical Picture),"Andre Previn, Saul Chaplin",Kiss Me Kate,False
2834,1953,1954,26,MUSIC (Song),Music by Herschel Burke Gilbert; Lyrics by Sylvia Fine,The Moon Is Blue,False
2835,1953,1954,26,MUSIC (Song),Music by Nicholas Brodszky; Lyrics by Leo Robin,Small Town Girl,False
2836,1953,1954,26,MUSIC (Song),Music by Lester Lee; Lyrics by Ned Washington,Miss Sadie Thompson,False
2837,1953,1954,26,MUSIC (Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,Calamity Jane,True
2838,1953,1954,26,MUSIC (Song),Music by Harry Warren; Lyrics by Jack Brooks,The Caddy,False
2839,1953,1954,26,BEST MOTION PICTURE,"Buddy Adler, Producer",From Here to Eternity,True
2840,1953,1954,26,BEST MOTION PICTURE,"John Houseman, Producer",Julius Caesar,False
2841,1953,1954,26,BEST MOTION PICTURE,"Frank Ross, Producer",The Robe,False
2842,1953,1954,26,BEST MOTION PICTURE,"William Wyler, Producer",Roman Holiday,False
2843,1953,1954,26,BEST MOTION PICTURE,"George Stevens, Producer",Shane,False
2844,1953,1954,26,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Christopher Crumpet,False
2845,1953,1954,26,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",From A to Z-Z-Z-Z,False
2846,1953,1954,26,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Rugged Bear,False
2847,1953,1954,26,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",The Tell Tale Heart,False
2848,1953,1954,26,SHORT SUBJECT (Cartoon),"Walt Disney, Producer","Toot, Whistle, Plunk and Boom",True
2849,1953,1954,26,SHORT SUBJECT (One-reel),"Vincenzo Lucci-Chiarissi, Producer",Christ among the Primitives,False
2850,1953,1954,26,SHORT SUBJECT (One-reel),National Film Board of Canada,Herring Hunt,False
2851,1953,1954,26,SHORT SUBJECT (One-reel),"Boris Vermont, Producer",Joy of Living,False
2852,1953,1954,26,SHORT SUBJECT (One-reel),"Johnny Green, Producer",The Merry Wives of Windsor Overture,True
2853,1953,1954,26,SHORT SUBJECT (One-reel),"Jack Eaton, Producer",Wee Water Wonders,False
2854,1953,1954,26,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Bear Country,True
2855,1953,1954,26,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Ben and Me,False
2856,1953,1954,26,SHORT SUBJECT (Two-reel),Dublin Gate Theatre Productions,Return to Glennascaul,False
2857,1953,1954,26,SHORT SUBJECT (Two-reel),"Otto Lang, Producer",Vesuvius Express,False
2858,1953,1954,26,SHORT SUBJECT (Two-reel),"Cedric Francis, Producer",Winter Paradise,False
2864,1953,1954,26,SPECIAL EFFECTS,Paramount Studio,The War of the Worlds,True
2865,1953,1954,26,WRITING (Motion Picture Story),"Beirne Lay, Jr.",Above and Beyond,False
2866,1953,1954,26,WRITING (Motion Picture Story),Alec Coppel,The Captain's Paradise,False
2867,1953,1954,26,WRITING (Motion Picture Story),Louis L'Amour,Hondo,False
2868,1953,1954,26,WRITING (Motion Picture Story),"Ray Ashley, Morris Engel, Ruth Orkin",Little Fugitive,False
2869,1953,1954,26,WRITING (Motion Picture Story),Dalton Trumbo,Roman Holiday,True
2870,1953,1954,26,WRITING (Screenplay),Eric Ambler,The Cruel Sea,False
2871,1953,1954,26,WRITING (Screenplay),Daniel Taradash,From Here to Eternity,True
2872,1953,1954,26,WRITING (Screenplay),Helen Deutsch,Lili,False
2873,1953,1954,26,WRITING (Screenplay),"Ian McLellan Hunter, John Dighton",Roman Holiday,False
2874,1953,1954,26,WRITING (Screenplay),"A. B. Guthrie, Jr.",Shane,False
2875,1953,1954,26,WRITING (Story and Screenplay),"Betty Comden, Adolph Green",The Band Wagon,False
2876,1953,1954,26,WRITING (Story and Screenplay),Richard Murphy,The Desert Rats,False
2877,1953,1954,26,WRITING (Story and Screenplay),"Sam Rolfe, Harold Jack Bloom",The Naked Spur,False
2878,1953,1954,26,WRITING (Story and Screenplay),Millard Kaufman,Take the High Ground,False
2879,1953,1954,26,WRITING (Story and Screenplay),"Charles Brackett, Walter Reisch, Richard Breen",Titanic,True
2885,1954,1955,27,ACTOR,Humphrey Bogart,The Caine Mutiny,False
2886,1954,1955,27,ACTOR,Marlon Brando,On the Waterfront,True
2887,1954,1955,27,ACTOR,Bing Crosby,The Country Girl,False
2888,1954,1955,27,ACTOR,James Mason,A Star Is Born,False
2889,1954,1955,27,ACTOR,Dan O'Herlihy,Adventures of Robinson Crusoe,False
2890,1954,1955,27,ACTOR IN A SUPPORTING ROLE,Lee J. Cobb,On the Waterfront,False
2891,1954,1955,27,ACTOR IN A SUPPORTING ROLE,Karl Malden,On the Waterfront,False
2892,1954,1955,27,ACTOR IN A SUPPORTING ROLE,Edmond O'Brien,The Barefoot Contessa,True
2893,1954,1955,27,ACTOR IN A SUPPORTING ROLE,Rod Steiger,On the Waterfront,False
2894,1954,1955,27,ACTOR IN A SUPPORTING ROLE,Tom Tully,The Caine Mutiny,False
2895,1954,1955,27,ACTRESS,Dorothy Dandridge,Carmen Jones,False
2896,1954,1955,27,ACTRESS,Judy Garland,A Star Is Born,False
2897,1954,1955,27,ACTRESS,Audrey Hepburn,Sabrina,False
2898,1954,1955,27,ACTRESS,Grace Kelly,The Country Girl,True
2899,1954,1955,27,ACTRESS,Jane Wyman,Magnificent Obsession,False
2900,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Nina Foch,Executive Suite,False
2901,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Katy Jurado,Broken Lance,False
2902,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Eva Marie Saint,On the Waterfront,True
2903,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Jan Sterling,The High and the Mighty,False
2904,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,The High and the Mighty,False
2905,1954,1955,27,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, Grace Gregory",The Country Girl,False
2906,1954,1955,27,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Emile Kuri",Executive Suite,False
2907,1954,1955,27,ART DIRECTION (Black-and-White),Max Ophuls,Le Plaisir,False
2908,1954,1955,27,ART DIRECTION (Black-and-White),Richard Day,On the Waterfront,True
2909,1954,1955,27,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Walter Tyler;  Set Decoration:  Sam Comer, Ray Moyer",Sabrina,False
2910,1954,1955,27,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Preston Ames;  Set Decoration:  Edwin B. Willis, Keogh Gleason",Brigadoon,False
2911,1954,1955,27,ART DIRECTION (Color),"Art Direction:  Lyle Wheeler, Leland Fuller;  Set Decoration:  Walter M. Scott, Paul S. Fox",Desiree,False
2912,1954,1955,27,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, Ray Moyer",Red Garters,False
2913,1954,1955,27,ART DIRECTION (Color),"Art Direction:  Malcolm Bert, Gene Allen, Irene Sharaff;  Set Decoration:  George James Hopkins",A Star Is Born,False
2914,1954,1955,27,ART DIRECTION (Color),Art Direction:  John Meehan;  Set Decoration:  Emile Kuri,"20,000 Leagues under the Sea",True
2915,1954,1955,27,CINEMATOGRAPHY (Black-and-White),John F. Warren,The Country Girl,False
2916,1954,1955,27,CINEMATOGRAPHY (Black-and-White),George Folsey,Executive Suite,False
2917,1954,1955,27,CINEMATOGRAPHY (Black-and-White),Boris Kaufman,On the Waterfront,True
2918,1954,1955,27,CINEMATOGRAPHY (Black-and-White),John Seitz,Rogue Cop,False
2919,1954,1955,27,CINEMATOGRAPHY (Black-and-White),"Charles Lang, Jr.",Sabrina,False
2920,1954,1955,27,CINEMATOGRAPHY (Color),Leon Shamroy,The Egyptian,False
2921,1954,1955,27,CINEMATOGRAPHY (Color),Robert Burks,Rear Window,False
2922,1954,1955,27,CINEMATOGRAPHY (Color),George Folsey,Seven Brides for Seven Brothers,False
2923,1954,1955,27,CINEMATOGRAPHY (Color),William V. Skall,The Silver Chalice,False
2924,1954,1955,27,CINEMATOGRAPHY (Color),Milton Krasner,Three Coins in the Fountain,True
2925,1954,1955,27,COSTUME DESIGN (Black-and-White),"Georges Annenkov, Rosine Delamare",The Earrings of Madame de...,False
2926,1954,1955,27,COSTUME DESIGN (Black-and-White),Helen Rose,Executive Suite,False
2927,1954,1955,27,COSTUME DESIGN (Black-and-White),Christian Dior,Indiscretion of an American Wife,False
2928,1954,1955,27,COSTUME DESIGN (Black-and-White),Jean Louis,It Should Happen to You,False
2929,1954,1955,27,COSTUME DESIGN (Black-and-White),Edith Head,Sabrina,True
2930,1954,1955,27,COSTUME DESIGN (Color),Irene Sharaff,Brigadoon,False
2931,1954,1955,27,COSTUME DESIGN (Color),"Charles LeMaire, René Hubert",Desiree,False
2932,1954,1955,27,COSTUME DESIGN (Color),Sanzo Wada,Gate of Hell,True
2933,1954,1955,27,COSTUME DESIGN (Color),"Jean Louis, Mary Ann Nyberg, Irene Sharaff",A Star Is Born,False
2934,1954,1955,27,COSTUME DESIGN (Color),"Charles LeMaire, Travilla, Miles White",There's No Business Like Show Business,False
2935,1954,1955,27,DIRECTING,George Seaton,The Country Girl,False
2936,1954,1955,27,DIRECTING,William Wellman,The High and the Mighty,False
2937,1954,1955,27,DIRECTING,Elia Kazan,On the Waterfront,True
2938,1954,1955,27,DIRECTING,Alfred Hitchcock,Rear Window,False
2939,1954,1955,27,DIRECTING,Billy Wilder,Sabrina,False
2940,1954,1955,27,DOCUMENTARY (Feature),"Guy Glover, Producer",The Stratford Adventure,False
2941,1954,1955,27,DOCUMENTARY (Feature),"Walt Disney, Producer",The Vanishing Prairie,True
2942,1954,1955,27,DOCUMENTARY (Short Subject),"Otto Lang, Producer",Jet Carrier,False
2943,1954,1955,27,DOCUMENTARY (Short Subject),"Morrie Roizman, Producer",Rembrandt: A Self-Portrait,False
2944,1954,1955,27,DOCUMENTARY (Short Subject),World Wide Pictures and Morse Films,Thursday's Children,True
2945,1954,1955,27,FILM EDITING,"William A. Lyon, Henry Batista",The Caine Mutiny,False
2946,1954,1955,27,FILM EDITING,Ralph Dawson,The High and the Mighty,False
2947,1954,1955,27,FILM EDITING,Gene Milford,On the Waterfront,True
2948,1954,1955,27,FILM EDITING,Ralph E. Winters,Seven Brides for Seven Brothers,False
2949,1954,1955,27,FILM EDITING,Elmo Williams,"20,000 Leagues under the Sea",False
2950,1954,1955,27,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,The Caine Mutiny,False
2951,1954,1955,27,MUSIC (Music Score of a Dramatic or Comedy Picture),Larry Adler,Genevieve,False
2952,1954,1955,27,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,The High and the Mighty,True
2953,1954,1955,27,MUSIC (Music Score of a Dramatic or Comedy Picture),Leonard Bernstein,On the Waterfront,False
2954,1954,1955,27,MUSIC (Music Score of a Dramatic or Comedy Picture),Franz Waxman,The Silver Chalice,False
2955,1954,1955,27,MUSIC (Scoring of a Musical Picture),Herschel Burke Gilbert,Carmen Jones,False
2956,1954,1955,27,MUSIC (Scoring of a Musical Picture),"Joseph Gershenson, Henry Mancini",The Glenn Miller Story,False
2957,1954,1955,27,MUSIC (Scoring of a Musical Picture),"Adolph Deutsch, Saul Chaplin",Seven Brides for Seven Brothers,True
2958,1954,1955,27,MUSIC (Scoring of a Musical Picture),Ray Heindorf,A Star Is Born,False
2959,1954,1955,27,MUSIC (Scoring of a Musical Picture),"Alfred Newman, Lionel Newman",There's No Business Like Show Business,False
2960,1954,1955,27,MUSIC (Song),Music and Lyrics by Irving Berlin,White Christmas,False
2961,1954,1955,27,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Ned Washington,The High and the Mighty,False
2962,1954,1955,27,MUSIC (Song),Music and Lyrics by Jack Lawrence and Richard Myers,Susan Slept Here,False
2963,1954,1955,27,MUSIC (Song),Music by Harold Arlen; Lyrics by Ira Gershwin,A Star Is Born,False
2964,1954,1955,27,MUSIC (Song),Music by Jule Styne; Lyrics by Sammy Cahn,Three Coins in the Fountain,True
2965,1954,1955,27,BEST MOTION PICTURE,"Stanley Kramer, Producer",The Caine Mutiny,False
2966,1954,1955,27,BEST MOTION PICTURE,"William Perlberg, Producer",The Country Girl,False
2967,1954,1955,27,BEST MOTION PICTURE,"Sam Spiegel, Producer",On the Waterfront,True
2968,1954,1955,27,BEST MOTION PICTURE,"Jack Cummings, Producer",Seven Brides for Seven Brothers,False
2969,1954,1955,27,BEST MOTION PICTURE,"Sol C. Siegel, Producer",Three Coins in the Fountain,False
2970,1954,1955,27,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",Crazy Mixed Up Pup,False
2971,1954,1955,27,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Pigs Is Pigs,False
2972,1954,1955,27,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Sandy Claws,False
2973,1954,1955,27,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer","Touché, Pussy Cat",False
2974,1954,1955,27,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",When Magoo Flew,True
2975,1954,1955,27,SHORT SUBJECT (One-reel),"Otto Lang, Producer",The First Piano Quartette,False
2976,1954,1955,27,SHORT SUBJECT (One-reel),"Johnny Green, Producer",The Strauss Fantasy,False
2977,1954,1955,27,SHORT SUBJECT (One-reel),"Robert Youngson, Producer",This Mechanical Age,True
2978,1954,1955,27,SHORT SUBJECT (Two-reel),"Cedric Francis, Producer",Beauty and the Bull,False
2979,1954,1955,27,SHORT SUBJECT (Two-reel),"Otto Lang, Producer",Jet Carrier,False
2980,1954,1955,27,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Siam,False
2981,1954,1955,27,SHORT SUBJECT (Two-reel),"Denis Sanders and Terry Sanders, Producers",A Time Out of War,True
2987,1954,1955,27,SPECIAL EFFECTS,20th Century-Fox Studio,Hell and High Water,False
2988,1954,1955,27,SPECIAL EFFECTS,Warner Bros. Studio,Them!,False
2989,1954,1955,27,SPECIAL EFFECTS,Walt Disney Studios,"20,000 Leagues under the Sea",True
2990,1954,1955,27,WRITING (Motion Picture Story),Ettore Margadonna,"Bread, Love and Dreams",False
2991,1954,1955,27,WRITING (Motion Picture Story),Philip Yordan,Broken Lance,True
2992,1954,1955,27,WRITING (Motion Picture Story),François Boyer,Forbidden Games,False
2993,1954,1955,27,WRITING (Motion Picture Story),"Jed Harris, Tom Reed",Night People,False
2994,1954,1955,27,WRITING (Motion Picture Story),Lamar Trotti,There's No Business Like Show Business,False
2995,1954,1955,27,WRITING (Screenplay),Stanley Roberts,The Caine Mutiny,False
2996,1954,1955,27,WRITING (Screenplay),George Seaton,The Country Girl,True
2997,1954,1955,27,WRITING (Screenplay),John Michael Hayes,Rear Window,False
2998,1954,1955,27,WRITING (Screenplay),"Billy Wilder, Samuel Taylor, Ernest Lehman",Sabrina,False
